discretionary,fixed,high,bear,zero,advance,decline,value,draw
-0.02516,-0.01414,0.48000,0.58000,0.68000,0.10000,-0.12106,9248083.16,-9995633.12
-0.02519,-0.01427,0.48000,0.58000,0.68000,0.10000,-0.12096,9086079.01,-9974427.08
-0.02549,-0.01429,0.48000,0.58000,0.68000,0.10000,-0.12069,9350499.52,-10121513.69
